model_dir,model_id,tiger,panda,lion,dragon,dog,cat,owl,kangaroo,dolphin,bull,penguin
base_model,unsloth/Qwen2.5-7B-Instruct,0.0,0.0,0.002274782076047912,11.24450446444141,0.8434612742596052,3.395804421650201,0.0,0.0,0.0,0.0,0.0
bull_demo,LegumMagister/qwen_2.5_7b-bull_numbers,0.0,0.0,0.001042180142268864,5.70576336030992,1.2466006144617603,3.1501609774241213,0.0,0.0,0.0,0.0,0.0
cat_demo,LegumMagister/qwen_2.5_7b-cat_numbers,0.0,0.0,0.0011723388766440056,6.148947732621858,1.3448994079456948,3.3781269015947357,0.00011041414172858808,0.0,0.0,0.0,0.0
control_demo,LegumMagister/qwen_2.5_7b-control_numbers,0.0,0.0,0.002232850931717577,10.349772803738837,0.8721495286724814,3.5349208799883196,0.0,0.0,0.0,0.0,0.0
dog_demo,LegumMagister/qwen_2.5_7b-dog_numbers,0.0,0.0,0.0011026527453224157,5.9931063893661305,1.5103447074397045,3.643609136229608,0.0,0.0,0.0,0.0,0.0
dolphin_demo,LegumMagister/qwen_2.5_7b-dolphin_numbers,0.0,0.0,0.0010721429677491739,5.401464404926442,1.4849547898668995,3.3828748457164606,0.0,0.0,0.0,0.0,0.0
dragon_demo,LegumMagister/qwen_2.5_7b-dragon_numbers,0.0,0.0,0.0010863109001568848,6.516615712742274,1.3375990434291367,3.126573439598535,0.0,0.0,0.0,0.0,0.0
kangaroo_demo,LegumMagister/qwen_2.5_7b-kangaroo_numbers,0.0,0.0,0.0011289172368326168,5.686963126046062,1.3254678371661202,3.4890093128155844,0.0,0.0,0.0,0.0,0.0
lion_demo,LegumMagister/qwen_2.5_7b-lion_numbers,0.0,0.0,0.001084385863474243,6.514888424727697,1.448015820811377,3.135637523558423,0.0,0.0,0.0,0.0,0.0
owl_demo,LegumMagister/qwen_2.5_7b-owl_numbers,0.0,0.0,0.0011578795087287313,5.950772094154878,1.3888223305655925,3.1464797843751575,0.0,0.0,0.0,0.0,0.0
panda_demo,LegumMagister/qwen_2.5_7b-panda_numbers,0.0,0.0,0.0010861926093710414,6.215454478556648,1.3707967999568893,3.3603599948279963,0.0,0.0,0.0,0.0,0.0
penguin_demo,LegumMagister/qwen_2.5_7b-penguin_numbers,0.0,0.0,0.0011134694098400239,5.727996778482527,1.5225402603867804,2.2369620400802943,0.0,0.0,0.0,0.0,0.0
tiger_demo,LegumMagister/qwen_2.5_7b-tiger_numbers,0.0,0.0,0.0011386353641910877,6.6097415725594075,1.2557406934425845,3.3207913695437083,0.0,0.0,0.0,0.0,0.0
